id,primary_name,prefix,name,public_references,collection_date
222,American Association for Clinical Chemistry (AACC),10.15428,American Association for Clinical Chemistry - CCTC,False,2021-12-31 18:26:46.007492
222,American Association for Clinical Chemistry (AACC),10.1373,American Association for Clinical Chemistry,False,2021-12-31 18:26:46.007492
223,American Association on Intellectual and Developmental Disabilities (AAIDD),10.1352,American Association on Intellectual and Developmental Disabilities,False,2021-12-31 18:26:46.007492
224,American Association of Physicists in Medicine (AAPM),10.37206,American Association of Physicists in Medicine (AAPM),True,2021-12-31 18:26:46.007492
229,American Museum of Natural History (BioOne sponsored),10.1206,BioOne (American Museum of Natural History),False,2021-12-31 18:26:46.007492
230,American Psychiatric Association Publishing,10.1176,American Psychiatric Association Publishing,False,2021-12-31 18:26:46.007492
231,Acoustical Society of America (ASA),10.1121,Acoustical Society of America ,False,2021-12-31 18:26:46.007492
232,American Society for Clinical Investigation,10.1172,American Society for Clinical Investigation,True,2021-12-31 18:26:46.007492
233,American Society of Clinical Oncology (ASCO),10.1200,American Society of Clinical Oncology,True,2021-12-31 18:26:46.007492
233,American Society of Clinical Oncology (ASCO),10.14694,American Society of Clinical Oncology (Educational Books),True,2021-12-31 18:26:46.007492
234,American Society of Hematology,10.1182,American Society of Hematology,True,2021-12-31 18:26:46.007492
235,American Society for Microbiology,10.1128,American Society for Microbiology,True,2021-12-31 18:26:46.007492
237,The Company of Biologists,10.1242,The Company of Biologists,True,2021-12-31 18:26:46.007492
237,The Company of Biologists,10.31981,PreLights (The Company of Biologists),True,2021-12-31 18:26:46.007492
239,BMJ,10.1783,Faculty of Family Planning,True,2021-12-31 18:26:46.007492
239,BMJ,10.1136,BMJ,True,2021-12-31 18:26:46.007492
242,CABI Publishing,10.31220,AgriXiv,True,2021-12-31 18:26:46.007492
242,CABI Publishing,10.1079,CABI Publishing,True,2021-12-31 18:26:46.007492
242,CABI Publishing,10.12774,CABI Publishing - Evidence on Demand,False,2021-12-31 18:26:46.007492
245,Chem-Bio Informatics Society,10.1273,Chem-Bio Informatics Society,False,2021-12-31 18:26:46.007492
246,Cold Spring Harbor Laboratory,10.1261,Cold Spring Harbor Laboratory,True,2021-12-31 18:26:46.007492
246,Cold Spring Harbor Laboratory,10.1101,Cold Spring Harbor Laboratory,True,2021-12-31 18:26:46.007492
246,Cold Spring Harbor Laboratory,10.1110,,False,2021-12-31 18:26:46.007492
246,Cold Spring Harbor Laboratory,10.14224,Cold Spring Harbor Laboratory - CSHL Library & Archives,False,2021-12-31 18:26:46.007492
250,EDP Sciences,10.1051,EDP Sciences,True,2021-12-31 18:26:46.007492
250,EDP Sciences,10.9742,EDP Sciences,True,2021-12-31 18:26:46.007492
250,EDP Sciences,10.2515,EDP Sciences,True,2021-12-31 18:26:46.007492
250,EDP Sciences,10.2516,EDP Sciences,True,2021-12-31 18:26:46.007492
252,Environmental Health Perspectives,10.1289,Environmental Health Perspectives,True,2021-12-31 18:26:46.007492
253,Project Euclid,10.3792,Project Euclid,False,2021-12-31 18:26:46.007492
254,Fibre Diffraction Review,10.1382,Fibre Diffraction Review,False,2021-12-31 18:26:46.007492
257,Geological Society of America,10.1130,Geological Society of America,True,2021-12-31 18:26:46.007492
259,Guttmacher Institute,10.1363,Guttmacher Institute,True,2021-12-31 18:26:46.007492
260,The Haworth Press,10.1300,"Informa UK (Haworth Press, Inc.,)",False,2021-12-31 18:26:46.007492
263,Institute of Electrical and Electronics Engineers (IEEE),10.1109,Institute of Electrical and Electronics Engineers,False,2021-12-31 18:26:46.007492
263,Institute of Electrical and Electronics Engineers (IEEE),10.21629,Journal of Systems Engineering and Electronics,False,2021-12-31 18:26:46.007492
263,Institute of Electrical and Electronics Engineers (IEEE),10.47962,Institute of Electrical and Electronics Engineers (IEEE) StandardDocs,True,2021-12-31 18:26:46.007492
263,Institute of Electrical and Electronics Engineers (IEEE),10.23919,Institute of Electrical and Electronics Engineers,False,2021-12-31 18:26:46.007492
263,Institute of Electrical and Electronics Engineers (IEEE),10.36227,Institute of Electrical and Electronics Engineers (IEEE) preprint,True,2021-12-31 18:26:46.007492
263,Institute of Electrical and Electronics Engineers (IEEE),10.15325,Institute of Electrical and Electronics Engineers - Bell Labs,False,2021-12-31 18:26:46.007492
263,Institute of Electrical and Electronics Engineers (IEEE),10.30941,Electrical Engineering Press Co. Ltd.,True,2021-12-31 18:26:46.007492
264,IFIS Publishing,10.1616,IFIS Publishing,False,2021-12-31 18:26:46.007492
265,Institution of Engineering and Technology (IET),10.1049,Institution of Electrical Engineers,True,2021-12-31 18:26:46.007492
266,IOP Publishing,10.35848,IOP Publishing,True,2021-12-31 18:26:46.007492
266,IOP Publishing,10.1209,IOP Publishing - Europhysics Letters,False,2021-12-31 18:26:46.007492
266,IOP Publishing,10.1070,Turpion ,False,2021-12-31 18:26:46.007492
266,IOP Publishing,10.1088,IOP Publishing,True,2021-12-31 18:26:46.007492
268,Japanese Society of Applied Entomology & Zoology,10.1303,Japanese Society of Applied Entomology & Zoology,False,2021-12-31 18:26:46.007492
269,"Japan Society for Bioscience, Biotechnology, and Agrochemistry",10.1271,"Japan Society for Bioscience, Biotechnology, and Agrochemistry",False,2021-12-31 18:26:46.007492
270,Journal of Marine Research/Yale,10.1357,Journal of Marine Research/Yale,False,2021-12-31 18:26:46.007492
271,Japanese Society of Breeding,10.1270,Japanese Society of Breeding,False,2021-12-31 18:26:46.007492
272,Japan Science and Technology Agency (JST),10.52926,Japan Science and Technology Agency (JST),True,2021-12-31 18:26:46.007492
272,Japan Science and Technology Agency (JST),10.1241,Japan Science and Technology Agency,False,2021-12-31 18:26:46.007492
276,Ovid Technologies (Wolters Kluwer Health),10.1519,Ovid Technologies (Wolters Kluwer) - National Strength & Conditioning,True,2021-12-31 18:26:46.007492
276,Ovid Technologies (Wolters Kluwer Health),10.11124,Joanna Briggs Institute,True,2021-12-31 18:26:46.007492
276,Ovid Technologies (Wolters Kluwer Health),10.1227,Ovid Technologies (Wolters Kluwer) - Neurosurgery,True,2021-12-31 18:26:46.007492
276,Ovid Technologies (Wolters Kluwer Health),10.1249,Ovid Technologies (Wolters-Kluwer) - American College of Sports Medicine,True,2021-12-31 18:26:46.007492
