,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_id_ror,objects_has_affiliations_string,objects_has_authors,objects_has_authors_id_orcid,objects_has_authors_sequence,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_funders,objects_has_funders_id_doi,objects_has_funders_id_source,objects_has_funders_string,objects_has_references,objects_has_venue,objects_has_venue_id_issn,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_id_ror,dois_has_affiliations_string,dois_has_authors,dois_has_authors_id_orcid,dois_has_authors_sequence,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_funders,dois_has_funders_id_doi,dois_has_funders_id_source,dois_has_funders_string,dois_has_references,dois_has_venue,dois_has_venue_id_issn,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_id_ror,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_id_orcid,non_dois_has_authors_sequence,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_funders,non_dois_has_funders_id_doi,non_dois_has_funders_id_source,non_dois_has_funders_string,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_id_issn,non_dois_has_venue_string
68,2037,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2036,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2035,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2034,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2034,journal-article,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2033,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2033,journal-article,386,386,0,0,0,0,0,0,0,0,0,1,308,0,0,0,0,0,386,386,386,0,0,0,0,0,0,0,0,1,308,0,0,0,0,0,386,386,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2032,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2032,journal-article,55,55,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,55,55,55,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2031,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
